Name,Opponent,Win,Weight_Class,Title_Bout,Method,Round,Time,Time_format,Referee,Date,Location,Fighter_A_Totals_Fighter,Fighter_A_Totals_KD,Fighter_A_Totals_Sig_str,Fighter_A_Totals_Sig_str_Pct,Fighter_A_Totals_Total_str,Fighter_A_Totals_Td_Pct,Fighter_A_Totals_Sub_att,Fighter_A_Totals_Rev,Fighter_A_Totals_Ctrl,Fighter_A_Significant_Strikes_Fighter,Fighter_A_Significant_Strikes_Sig_str,Fighter_A_Significant_Strikes_Sig_str_Pct,Fighter_A_Significant_Strikes_Head,Fighter_A_Significant_Strikes_Body,Fighter_A_Significant_Strikes_Leg,Fighter_A_Significant_Strikes_Distance,Fighter_A_Significant_Strikes_Clinch,Fighter_A_Significant_Strikes_Ground,Fighter_B_Totals_Fighter,Fighter_B_Totals_KD,Fighter_B_Totals_Sig_str,Fighter_B_Totals_Sig_str_Pct,Fighter_B_Totals_Total_str,Fighter_B_Totals_Td_Pct,Fighter_B_Totals_Sub_att,Fighter_B_Totals_Rev,Fighter_B_Totals_Ctrl,Fighter_B_Significant_Strikes_Fighter,Fighter_B_Significant_Strikes_Sig_str,Fighter_B_Significant_Strikes_Sig_str_Pct,Fighter_B_Significant_Strikes_Head,Fighter_B_Significant_Strikes_Body,Fighter_B_Significant_Strikes_Leg,Fighter_B_Significant_Strikes_Distance,Fighter_B_Significant_Strikes_Clinch,Fighter_B_Significant_Strikes_Ground
Toshiomi Kazama,Elijah Smith,0,Bantamweight,0,KO/TKO,1,4:10,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Toshiomi Kazama,0.0,0 of 0,---,2 of 2,100%,1.0,1.0,0:05,Toshiomi Kazama,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Joselyne Edwards,Priscila Cachoeira,1,Women's Bantamweight,0,KO/TKO,1,2:24,3_Rnd_(5-5-5),Herb_Dean,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Joselyne Edwards,1.0,26 of 44,59%,26 of 44,0%,0.0,0.0,0:01,Joselyne Edwards,26 of 44,59%,16 of 29,5 of 10,5 of 5,24 of 42,0 of 0,2 of 2,,,,,,,,,,,,,,,,,,
Priscila Cachoeira,Joselyne Edwards,0,Women's Bantamweight,0,KO/TKO,1,2:24,3_Rnd_(5-5-5),Herb_Dean,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Priscila Cachoeira,0.0,18 of 50,36%,18 of 50,---,0.0,0.0,0:00,Priscila Cachoeira,18 of 50,36%,15 of 47,1 of 1,2 of 2,18 of 50,0 of 0,0 of 0
Uros Medic,Gilbert Urbina,1,Welterweight,0,KO/TKO,1,1:03,3_Rnd_(5-5-5),Mark_Smith,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Uros Medic,1.0,5 of 9,55%,6 of 10,---,0.0,0.0,0:01,Uros Medic,5 of 9,55%,4 of 8,1 of 1,0 of 0,3 of 7,1 of 1,1 of 1,,,,,,,,,,,,,,,,,,
Gilbert Urbina,Uros Medic,0,Welterweight,0,KO/TKO,1,1:03,3_Rnd_(5-5-5),Mark_Smith,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Gilbert Urbina,1.0,5 of 10,50%,5 of 10,---,0.0,0.0,0:02,Gilbert Urbina,5 of 10,50%,3 of 7,1 of 2,1 of 1,5 of 10,0 of 0,0 of 0
Gabriella Fernandes,Julija Stoliarenko,1,Women's Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mike_Beltran,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Gabriella Fernandes,0.0,19 of 45,42%,19 of 45,---,0.0,0.0,0:00,Gabriella Fernandes,19 of 45,42%,10 of 35,9 of 10,0 of 0,19 of 45,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Julija Stoliarenko,Gabriella Fernandes,0,Women's Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mike_Beltran,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Julija Stoliarenko,0.0,19 of 47,40%,19 of 49,0%,0.0,0.0,0:13,Julija Stoliarenko,19 of 47,40%,9 of 32,1 of 3,9 of 12,19 of 46,0 of 1,0 of 0
Cody Brundage,Eric McConico,0,Light Heavyweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",Cody Brundage,0.0,8 of 18,44%,8 of 19,25%,0.0,0.0,2:32,Cody Brundage,8 of 18,44%,7 of 17,0 of 0,1 of 1,7 of 15,1 of 3,0 of 0,,,,,,,,,,,,,,,,,,
Eric McConico,Cody Brundage,1,Light Heavyweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 09, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Eric McConico,0.0,3 of 11,27%,8 of 17,---,0.0,0.0,0:08,Eric McConico,3 of 11,27%,2 of 9,1 of 2,0 of 0,2 of 9,1 of 2,0 of 0
Tatsuro Taira,HyunSung Park,1,Flyweight,0,Submission,2,1:06,5_Rnd_(5-5-5-5-5),Mark_Smith,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Tatsuro Taira,1.0,6 of 9,66%,12 of 18,100%,0.0,0.0,3:56,Tatsuro Taira,6 of 9,66%,5 of 8,0 of 0,1 of 1,3 of 5,0 of 0,3 of 4,,,,,,,,,,,,,,,,,,
HyunSung Park,Tatsuro Taira,0,Flyweight,0,Submission,2,1:06,5_Rnd_(5-5-5-5-5),Mark_Smith,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,HyunSung Park,0.0,2 of 5,40%,14 of 17,---,0.0,0.0,0:00,HyunSung Park,2 of 5,40%,1 of 3,0 of 0,1 of 2,1 of 3,0 of 1,1 of 1
Mateusz Rebecki,Chris Duncan,0,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kerry_Hatley,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Mateusz Rebecki,0.0,32 of 74,43%,38 of 81,0%,0.0,0.0,1:00,Mateusz Rebecki,32 of 74,43%,20 of 61,1 of 2,11 of 11,30 of 72,2 of 2,0 of 0,,,,,,,,,,,,,,,,,,
Chris Duncan,Mateusz Rebecki,1,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kerry_Hatley,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Chris Duncan,0.0,19 of 62,30%,19 of 62,0%,0.0,0.0,0:00,Chris Duncan,19 of 62,30%,10 of 47,6 of 12,3 of 3,19 of 62,0 of 0,0 of 0
Elves Brener,Esteban Ribovics,0,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Elves Brener,0.0,36 of 68,52%,37 of 69,0%,0.0,0.0,0:00,Elves Brener,36 of 68,52%,21 of 51,6 of 8,9 of 9,36 of 68,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Esteban Ribovics,Elves Brener,1,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Esteban Ribovics,0.0,39 of 95,41%,40 of 97,---,0.0,0.0,0:42,Esteban Ribovics,39 of 95,41%,29 of 83,6 of 6,4 of 6,31 of 82,0 of 0,8 of 13
Karol Rosa,Nora Cornolle,1,Women's Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kerry_Hatley,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Karol Rosa,0.0,18 of 34,52%,29 of 47,0%,0.0,0.0,2:03,Karol Rosa,18 of 34,52%,10 of 24,6 of 7,2 of 3,12 of 28,6 of 6,0 of 0,,,,,,,,,,,,,,,,,,
Nora Cornolle,Karol Rosa,0,Women's Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kerry_Hatley,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Nora Cornolle,0.0,24 of 37,64%,45 of 59,---,0.0,0.0,0:00,Nora Cornolle,24 of 37,64%,14 of 26,4 of 4,6 of 7,14 of 27,10 of 10,0 of 0
Neil Magny,Elizeu Zaleski dos Santos,1,Welterweight,0,KO/TKO,2,4:39,3_Rnd_(5-5-5),Mark_Smith,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Neil Magny,0.0,17 of 36,47%,29 of 50,0%,0.0,0.0,0:16,Neil Magny,17 of 36,47%,13 of 30,4 of 4,0 of 2,16 of 35,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Elizeu Zaleski dos Santos,Neil Magny,0,Welterweight,0,KO/TKO,2,4:39,3_Rnd_(5-5-5),Mark_Smith,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Elizeu Zaleski dos Santos,0.0,18 of 36,50%,24 of 42,0%,0.0,0.0,2:03,Elizeu Zaleski dos Santos,18 of 36,50%,5 of 20,4 of 5,9 of 11,15 of 32,3 of 4,0 of 0
Danny Silva,Kevin Vallejos,0,Featherweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Danny Silva,0.0,10 of 39,25%,10 of 39,100%,0.0,0.0,0:10,Danny Silva,10 of 39,25%,4 of 25,4 of 7,2 of 7,10 of 39,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Kevin Vallejos,Danny Silva,1,Featherweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Kevin Vallejos,0.0,19 of 54,35%,19 of 55,0%,0.0,0.0,0:19,Kevin Vallejos,19 of 54,35%,9 of 40,7 of 10,3 of 4,18 of 53,1 of 1,0 of 0
Rinya Nakamura,Nathan Fletcher,1,Bantamweight,0,KO/TKO,1,1:02,3_Rnd_(5-5-5),Kerry_Hatley,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Rinya Nakamura,1.0,12 of 19,63%,12 of 19,---,0.0,0.0,0:02,Rinya Nakamura,12 of 19,63%,6 of 13,4 of 4,2 of 2,8 of 15,0 of 0,4 of 4,,,,,,,,,,,,,,,,,,
Nathan Fletcher,Rinya Nakamura,0,Bantamweight,0,KO/TKO,1,1:02,3_Rnd_(5-5-5),Kerry_Hatley,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Nathan Fletcher,0.0,3 of 7,42%,3 of 7,---,0.0,0.0,0:00,Nathan Fletcher,3 of 7,42%,0 of 1,1 of 1,2 of 5,3 of 7,0 of 0,0 of 0
Rodolfo Vieira,Tresean Gore,1,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mark_Smith,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Rodolfo Vieira,0.0,15 of 26,57%,19 of 30,14%,0.0,0.0,2:09,Rodolfo Vieira,15 of 26,57%,7 of 17,4 of 5,4 of 4,13 of 23,2 of 3,0 of 0,,,,,,,,,,,,,,,,,,
Tresean Gore,Rodolfo Vieira,0,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Mark_Smith,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Tresean Gore,0.0,11 of 25,44%,13 of 27,---,0.0,0.0,0:00,Tresean Gore,11 of 25,44%,3 of 15,2 of 3,6 of 7,11 of 25,0 of 0,0 of 0
Nick Klein,Andrey Pulyaev,0,Middleweight,0,KO/TKO,2,1:31,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Nick Klein,0.0,9 of 18,50%,18 of 30,60%,1.0,0.0,3:55,Nick Klein,9 of 18,50%,5 of 12,4 of 6,0 of 0,3 of 9,6 of 9,0 of 0,,,,,,,,,,,,,,,,,,
Andrey Pulyaev,Nick Klein,1,Middleweight,0,KO/TKO,2,1:31,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Andrey Pulyaev,0.0,12 of 18,66%,17 of 23,---,0.0,0.0,0:00,Andrey Pulyaev,12 of 18,66%,7 of 12,5 of 6,0 of 0,5 of 10,7 of 8,0 of 0
Austin Bashi,John Yannis,1,Featherweight,0,Submission,1,3:39,3_Rnd_(5-5-5),Mark_Smith,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Austin Bashi,0.0,2 of 7,28%,48 of 67,100%,1.0,0.0,2:53,Austin Bashi,2 of 7,28%,2 of 7,0 of 0,0 of 0,2 of 6,0 of 0,0 of 1,,,,,,,,,,,,,,,,,,
John Yannis,Austin Bashi,0,Featherweight,0,Submission,1,3:39,3_Rnd_(5-5-5),Mark_Smith,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,John Yannis,0.0,0 of 5,0%,2 of 9,---,0.0,0.0,0:00,John Yannis,0 of 5,0%,0 of 4,0 of 1,0 of 0,0 of 5,0 of 0,0 of 0
Rafael Estevam,Felipe Bunes,1,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kerry_Hatley,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Rafael Estevam,0.0,8 of 19,42%,12 of 26,33%,0.0,0.0,2:48,Rafael Estevam,8 of 19,42%,1 of 9,2 of 5,5 of 5,7 of 17,1 of 1,0 of 1,,,,,,,,,,,,,,,,,,
Felipe Bunes,Rafael Estevam,0,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kerry_Hatley,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Felipe Bunes,0.0,7 of 14,50%,8 of 16,0%,1.0,0.0,0:03,Felipe Bunes,7 of 14,50%,1 of 6,2 of 4,4 of 4,7 of 14,0 of 0,0 of 0
Piera Rodriguez,Ketlen Souza,1,Women's Strawweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",Piera Rodriguez,0.0,21 of 55,38%,23 of 58,66%,0.0,0.0,1:37,Piera Rodriguez,21 of 55,38%,7 of 31,9 of 13,5 of 11,9 of 39,12 of 16,0 of 0,,,,,,,,,,,,,,,,,,
Ketlen Souza,Piera Rodriguez,0,Women's Strawweight,0,Decision - Split,3,5:00,3_Rnd_(5-5-5),Chris_Tognoni,"Date:August 02, 2025","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Ketlen Souza,0.0,19 of 32,59%,25 of 38,---,0.0,0.0,0:00,Ketlen Souza,19 of 32,59%,10 of 22,3 of 3,6 of 7,16 of 28,3 of 4,0 of 0
Robert Whittaker,Reinier de Ridder,0,Middleweight,0,Decision - Split,5,5:00,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Robert Whittaker,0.0,20 of 34,58%,21 of 35,---,0.0,0.0,0:00,Robert Whittaker,20 of 34,58%,19 of 33,1 of 1,0 of 0,19 of 33,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Reinier de Ridder,Robert Whittaker,1,Middleweight,0,Decision - Split,5,5:00,5_Rnd_(5-5-5-5-5),Marc_Goddard,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Reinier de Ridder,0.0,15 of 35,42%,21 of 42,0%,0.0,0.0,0:12,Reinier de Ridder,15 of 35,42%,6 of 19,9 of 16,0 of 0,10 of 30,5 of 5,0 of 0
Petr Yan,Marcus McGhee,1,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Daniel_Movahedi,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Petr Yan,0.0,22 of 43,51%,24 of 45,---,0.0,0.0,0:00,Petr Yan,22 of 43,51%,14 of 31,4 of 4,4 of 8,15 of 33,7 of 10,0 of 0,,,,,,,,,,,,,,,,,,
Marcus McGhee,Petr Yan,0,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Daniel_Movahedi,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Marcus McGhee,0.0,22 of 55,40%,23 of 57,---,0.0,0.0,0:00,Marcus McGhee,22 of 55,40%,15 of 41,2 of 5,5 of 9,20 of 52,2 of 3,0 of 0
Shara Magomedov,Marc-Andre Barriault,1,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Shara Magomedov,0.0,22 of 36,61%,23 of 37,---,0.0,0.0,0:17,Shara Magomedov,22 of 36,61%,5 of 15,4 of 7,13 of 14,19 of 30,3 of 6,0 of 0,,,,,,,,,,,,,,,,,,
Marc-Andre Barriault,Shara Magomedov,0,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Marc-Andre Barriault,0.0,5 of 17,29%,12 of 24,50%,0.0,0.0,1:27,Marc-Andre Barriault,5 of 17,29%,4 of 12,1 of 5,0 of 0,3 of 14,2 of 3,0 of 0
Asu Almabayev,Jose Ochoa,1,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jason_Herzog,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Asu Almabayev,0.0,5 of 10,50%,10 of 18,50%,2.0,0.0,3:16,Asu Almabayev,5 of 10,50%,3 of 6,1 of 3,1 of 1,5 of 8,0 of 2,0 of 0,,,,,,,,,,,,,,,,,,
Jose Ochoa,Asu Almabayev,0,Flyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jason_Herzog,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Jose Ochoa,0.0,10 of 18,55%,36 of 49,100%,0.0,0.0,0:43,Jose Ochoa,10 of 18,55%,1 of 6,5 of 6,4 of 6,8 of 15,2 of 3,0 of 0
Nikita Krylov,Bogdan Guskov,0,Light Heavyweight,0,KO/TKO,1,4:18,3_Rnd_(5-5-5),Marc_Goddard,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Nikita Krylov,0.0,16 of 34,47%,16 of 34,---,0.0,0.0,0:00,Nikita Krylov,16 of 34,47%,6 of 20,3 of 5,7 of 9,16 of 34,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Bogdan Guskov,Nikita Krylov,1,Light Heavyweight,0,KO/TKO,1,4:18,3_Rnd_(5-5-5),Marc_Goddard,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Bogdan Guskov,1.0,23 of 43,53%,28 of 48,---,0.0,0.0,0:17,Bogdan Guskov,23 of 43,53%,20 of 40,1 of 1,2 of 2,11 of 26,0 of 0,12 of 17
Bryce Mitchell,Said Nurmagomedov,1,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Bryce Mitchell,0.0,10 of 14,71%,21 of 28,0%,0.0,0.0,1:37,Bryce Mitchell,10 of 14,71%,2 of 3,5 of 8,3 of 3,5 of 9,5 of 5,0 of 0,,,,,,,,,,,,,,,,,,
Said Nurmagomedov,Bryce Mitchell,0,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Said Nurmagomedov,1.0,17 of 25,68%,42 of 56,---,0.0,0.0,1:46,Said Nurmagomedov,17 of 25,68%,11 of 19,4 of 4,2 of 2,11 of 15,1 of 1,5 of 9
Muslim Salikhov,Carlos Leal,1,Welterweight,0,KO/TKO,1,0:42,3_Rnd_(5-5-5),Daniel_Movahedi,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Muslim Salikhov,1.0,3 of 9,33%,3 of 9,---,0.0,0.0,0:00,Muslim Salikhov,3 of 9,33%,1 of 4,1 of 4,1 of 1,3 of 9,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Carlos Leal,Muslim Salikhov,0,Welterweight,0,KO/TKO,1,0:42,3_Rnd_(5-5-5),Daniel_Movahedi,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Carlos Leal,0.0,5 of 9,55%,5 of 9,---,0.0,0.0,0:00,Carlos Leal,5 of 9,55%,5 of 9,0 of 0,0 of 0,5 of 8,0 of 1,0 of 0
Davey Grant,Da'Mon Blackshear,1,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jason_Herzog,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Davey Grant,0.0,3 of 5,60%,3 of 8,---,0.0,0.0,0:19,Davey Grant,3 of 5,60%,0 of 1,0 of 0,3 of 4,3 of 4,0 of 0,0 of 1,,,,,,,,,,,,,,,,,,
Da'Mon Blackshear,Davey Grant,0,Bantamweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jason_Herzog,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Da'Mon Blackshear,0.0,2 of 4,50%,4 of 7,100%,1.0,0.0,3:52,Da'Mon Blackshear,2 of 4,50%,2 of 4,0 of 0,0 of 0,1 of 3,0 of 0,1 of 1
Amanda Ribas,Tabatha Ricci,0,Women's Strawweight,0,KO/TKO,2,2:59,3_Rnd_(5-5-5),Daniel_Movahedi,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Amanda Ribas,0.0,22 of 47,46%,55 of 83,33%,0.0,0.0,0:18,Amanda Ribas,22 of 47,46%,13 of 37,5 of 5,4 of 5,22 of 47,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Tabatha Ricci,Amanda Ribas,1,Women's Strawweight,0,KO/TKO,2,2:59,3_Rnd_(5-5-5),Daniel_Movahedi,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Tabatha Ricci,0.0,14 of 42,33%,48 of 86,0%,0.0,0.0,2:39,Tabatha Ricci,14 of 42,33%,8 of 33,3 of 6,3 of 3,14 of 42,0 of 0,0 of 0
Ibo Aslan,Billy Elekana,0,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Ibo Aslan,0.0,8 of 19,42%,8 of 19,---,0.0,0.0,0:00,Ibo Aslan,8 of 19,42%,1 of 11,2 of 2,5 of 6,8 of 19,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Billy Elekana,Ibo Aslan,1,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Billy Elekana,0.0,10 of 16,62%,10 of 16,0%,0.0,0.0,0:00,Billy Elekana,10 of 16,62%,3 of 8,7 of 8,0 of 0,10 of 16,0 of 0,0 of 0
Mohammad Yahya,Steven Nguyen,0,Featherweight,0,KO/TKO,2,5:00,3_Rnd_(5-5-5),Jason_Herzog,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Mohammad Yahya,0.0,33 of 86,38%,33 of 86,0%,0.0,0.0,0:03,Mohammad Yahya,33 of 86,38%,22 of 69,9 of 13,2 of 4,33 of 86,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Steven Nguyen,Mohammad Yahya,1,Featherweight,0,KO/TKO,2,5:00,3_Rnd_(5-5-5),Jason_Herzog,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Steven Nguyen,5.0,59 of 112,52%,65 of 120,---,0.0,0.0,0:53,Steven Nguyen,59 of 112,52%,47 of 98,2 of 2,10 of 12,35 of 70,4 of 4,20 of 38
Martin Buday,Marcus Buchecha,1,Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",Martin Buday,0.0,19 of 44,43%,38 of 66,---,0.0,0.0,0:43,Martin Buday,19 of 44,43%,14 of 38,4 of 4,1 of 2,15 of 38,4 of 5,0 of 1,,,,,,,,,,,,,,,,,,
Marcus Buchecha,Martin Buday,0,Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Jim_Perdios,"Date:July 26, 2025","Location:Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,,,,,,,,,,,,,,Marcus Buchecha,0.0,19 of 42,45%,21 of 46,0%,0.0,0.0,0:32,Marcus Buchecha,19 of 42,45%,10 of 31,9 of 11,0 of 0,13 of 34,6 of 8,0 of 0
Max Holloway,Dustin Poirier,1,Lightweight,0,Decision - Unanimous,5,5:00,5_Rnd_(5-5-5-5-5),Jason_Herzog,"Date:July 19, 2025","Location:New Orleans, Louisiana, USA",Max Holloway,1.0,26 of 64,40%,26 of 64,---,0.0,0.0,0:08,Max Holloway,26 of 64,40%,9 of 39,11 of 16,6 of 9,23 of 57,0 of 0,3 of 7,,,,,,,,,,,,,,,,,,
Dustin Poirier,Max Holloway,0,Lightweight,0,Decision - Unanimous,5,5:00,5_Rnd_(5-5-5-5-5),Jason_Herzog,"Date:July 19, 2025","Location:New Orleans, Louisiana, USA",,,,,,,,,,,,,,,,,,,Dustin Poirier,0.0,16 of 32,50%,16 of 32,---,0.0,0.0,0:00,Dustin Poirier,16 of 32,50%,12 of 28,1 of 1,3 of 3,16 of 32,0 of 0,0 of 0
Paulo Costa,Roman Kopylov,1,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Herb_Dean,"Date:July 19, 2025","Location:New Orleans, Louisiana, USA",Paulo Costa,1.0,34 of 54,62%,37 of 57,---,0.0,0.0,0:13,Paulo Costa,34 of 54,62%,13 of 33,7 of 7,14 of 14,25 of 39,0 of 0,9 of 15,,,,,,,,,,,,,,,,,,
Roman Kopylov,Paulo Costa,0,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Herb_Dean,"Date:July 19, 2025","Location:New Orleans, Louisiana, USA",,,,,,,,,,,,,,,,,,,Roman Kopylov,0.0,11 of 27,40%,11 of 27,---,0.0,0.0,0:00,Roman Kopylov,11 of 27,40%,5 of 18,3 of 6,3 of 3,11 of 27,0 of 0,0 of 0
